"","open","high","low","close"
"2010-03-29",3076.05,3130.28,3071.69,3123.8
"2010-04-02",3154.77,3159.6,3141.87,3157.96
"2010-04-12",3151.89,3156.21,3111.9,3129.26
"2010-04-19",3096.78,3096.78,2977.77,2980.3
"2010-04-26",2988.08,2996.83,2965.83,2969.5
"2010-04-30",2867.65,2875.81,2820.95,2870.61
"2010-05-10",2690.86,2713.06,2646.59,2698.76
"2010-05-17",2663.88,2663.88,2557.24,2559.93
"2010-05-24",2596.32,2680.49,2596.32,2673.42
"2010-05-31",2647.87,2665.39,2591.53,2592.15
"2010-06-07",2508.33,2527.1,2491.66,2511.73
"2010-06-11",2574.9,2590.98,2566.62,2569.94
"2010-06-21",2517.29,2587.34,2504.31,2586.21
"2010-06-28",2550.65,2561.49,2528.38,2535.28
"2010-07-05",2358.76,2378.09,2335.57,2363.95
"2010-07-12",2468.54,2501.02,2455.81,2490.72
"2010-07-19",2399.58,2484.19,2392.27,2475.42
"2010-07-26",2576.37,2589.48,2556.47,2588.68
"2010-08-02",2635.81,2675.76,2633.65,2672.52
"2010-08-09",2656.36,2676.09,2650.4,2672.53
"2010-08-16",2603.79,2665.31,2596.77,2661.71
"2010-08-23",2637.82,2656.12,2629.71,2639.37
"2010-08-30",2622.27,2656.36,2620.19,2652.66
"2010-09-06",2667.2,2698.6,2664.24,2696.25
"2010-09-13",2665.66,2696.67,2660.61,2688.32
"2010-09-20",2601.48,2607.35,2573.63,2588.71
"2010-09-27",2600.54,2629.04,2597.14,2627.97
"2010-09-30",2599.72,2656,2597.6,2655.66
"2010-10-11",2755.03,2823.6,2755.03,2806.94
"2010-10-18",2985.46,3026.1,2944.72,2955.23
"2010-10-25",2979.71,3051.54,2959.3,3051.42
"2010-11-01",2986.89,3054.05,2986.89,3054.02
"2010-11-08",3140.4,3160.7,3124.09,3159.51
"2010-11-15",2984.87,3016.13,2939.68,3014.41
"2010-11-22",2861.61,2904.97,2852.77,2884.37
"2010-11-29",2861.15,2878.83,2841.79,2866.36
"2010-12-06",2850.38,2871.41,2831.7,2857.18
"2010-12-13",2850.32,2923.77,2847.66,2922.95
"2010-12-20",2901.47,2911.56,2804.56,2852.92
"2010-12-27",2842.81,2876.81,2774.54,2781.4
"2010-12-31",2759.16,2808.93,2758.13,2808.08
"2011-01-10",2832.62,2847.36,2786.86,2791.81
"2011-01-17",2772.45,2780.94,2698.78,2706.66
"2011-01-24",2716.52,2736.11,2690.65,2695.72
"2011-01-31",2751.53,2790.92,2748.54,2790.69
"2011-02-01",2795.07,2805.05,2785.3,2798.96
"2011-02-14",2828.57,2906.26,2828.57,2899.13
"2011-02-21",2886.54,2932.82,2884.19,2932.25
"2011-02-28",2880.17,2906.17,2861.82,2905.05
"2011-03-07",2952.72,3000.43,2952.72,2996.21
"2011-03-14",2923.98,2939.65,2914.46,2937.63
"2011-03-21",2913.91,2927.07,2895.15,2909.14
"2011-03-28",2985.36,3005.78,2979.2,2984
"2011-04-01",2932.48,2967.85,2924.39,2967.41
"2011-04-11",3037.91,3059.57,3019.89,3022.75
"2011-04-18",3040.53,3067.46,3037.19,3057.33
"2011-04-25",3003.03,3003.61,2964.64,2964.95
"2011-04-29",2886.63,2913.56,2871.01,2911.51
"2011-05-09",2868.24,2885.18,2861.42,2872.46
"2011-05-16",2864.38,2877.09,2846.31,2849.07
"2011-05-23",2853.29,2853.29,2771.12,2774.57
"2011-05-30",2704.49,2728.06,2689.21,2706.36
"2011-06-03",2701.77,2732.43,2701.25,2728.02
"2011-06-13",2687.65,2703.42,2669.4,2700.38
"2011-06-20",2635.83,2637.88,2610.99,2621.25
"2011-06-27",2746.79,2769.04,2743.5,2758.23
"2011-07-04",2770.94,2813.27,2770.94,2812.82
"2011-07-11",2789.45,2807.32,2780.67,2802.69
"2011-07-18",2821.36,2826.96,2807.11,2816.69
"2011-07-25",2759.63,2759.63,2680.75,2688.75
"2011-08-01",2697.57,2712.89,2688.53,2703.78
"2011-08-08",2599.29,2614.19,2497.92,2526.82
"2011-08-15",2598.14,2627.1,2584.41,2626.77
"2011-08-22",2534.57,2553.42,2507.78,2515.86
"2011-08-29",2595.47,2595.47,2570.84,2576.41
"2011-09-05",2510.1,2510.1,2478.2,2478.74
"2011-09-09",2506.97,2528.42,2487.14,2497.75
"2011-09-19",2469.6,2469.6,2437.17,2437.79
"2011-09-26",2416.23,2441.73,2384.64,2393.18
"2011-09-30",2368.4,2377.54,2348.22,2359.22
"2011-10-10",2363.08,2368.15,2338.69,2344.79
"2011-10-17",2434.49,2452.99,2424.73,2440.4
