"","hmm_str","shangzheng"
"2015-04-03",0.020430099007809,0.020430099007809
"2015-04-13",0.0667144591128721,0.0667144591128721
"2015-04-20",0.0231384546705129,0.0231384546705129
"2015-04-27",0.0735864626708527,0.0735864626708527
"2015-05-04",0,-0.0103679816230065
"2015-05-11",0,-0.0327823482410289
"2015-05-18",0,-0.0115585728197011
"2015-05-25",0,0.123803253888768
"2015-06-01",0,0.00310357721550525
"2015-06-08",0,0.0627782817049582
"2015-06-15",0,-0.0134239304114672
"2015-06-19",0,-0.115471292655131
"2015-06-29",0,-0.0949744995936012
"2015-07-06",0,-0.0683735378223207
"2015-07-13",0,0.0515054649077971
"2015-07-20",0,0.00547049534176747
"2015-07-27",0,-0.066769202251441
"2015-08-03",0,-0.0275529047982048
"2015-08-10",0,0.0843272397050989
"2015-08-17",0,0.0166097311387274
"2015-08-24",0,-0.19625056652152
"2015-08-31",0,-0.00122121804038122
"2015-09-07",0,-0.0391673086940383
