"","zz","hs","calcs","calcs.1"
"2007-03-30",2926.06,2781.78,0.945941543583186,0.00359432506968656
"2007-04-02",2993.63,2850.11,0.970824964054026,0.0038457018749717
"2007-04-03",3042.46,2888.12,0.970561030924632,0.00383044716504061
"2007-04-04",3078.9,2911.82,0.980910022238391,0.00403931924074544
"2007-04-05",3133.14,2945.04,0.987810600452526,0.00419714932830181
"2007-04-06",3182.8,2972.01,0.988955311148368,0.00413481938956122
"2007-04-09",3240.3,3038.17,0.967650467499909,0.00315100001769846
"2007-04-10",3261.53,3081.57,0.898291560291302,0.00344425255677511
"2007-04-11",3309.75,3121.32,0.842625864680171,0.00350082781174779
"2007-04-12",3387.41,3176.44,0.840883565859884,0.00373399856654623
"2007-04-13",3358.63,3169.23,0.864367830064349,0.00312938175824044
"2007-04-16",3458.07,3256,0.94760998611351,0.00206841678249448
"2007-04-17",3558.22,3283.6,0.989187376365453,0.00291117783231857
"2007-04-18",3649.71,3304.5,1.00541240103253,0.00347391055117161
"2007-04-19",3435.78,3150.3,1.13205915394575,0.00209579894919429
"2007-04-20",3614.39,3289.28,1.1434493735876,0.00180120765855553
"2007-04-23",3782.26,3431.32,1.14042427838203,0.00106258325327487
"2007-04-24",3821.42,3445.2,1.13767835040572,0.00124480389055024
"2007-04-25",3805.05,3448.28,1.17842009627618,0.000290527115227813
"2007-04-26",3853.27,3493.58,1.18032209974994,0.000265989088666774
"2007-04-27",3845.81,3470.52,1.16837506576716,0.000566493294057443
"2007-04-30",3903.69,3558.71,1.15272713122262,0.000558905628756747
"2007-05-08",4091.13,3686.03,1.18234448573958,-6.28846936313558e-05
"2007-05-09",4099.13,3701.28,1.18437576445577,-0.000315390915157243
"2007-05-10",4128.08,3724.51,1.18188028844304,-0.000198431554171872
